Date,Close/Last,Volume,Open,High,Low
04/22/2016,$107.45,473668,$106.96,$107.57,$106.665
04/21/2016,$105.44,310509,$105.54,$105.86,$105.25
04/20/2016,$104.85,261280,$104.72,$105.3275,$104.16
04/19/2016,$104.7,251952,$105.1,$105.38,$104.45
04/18/2016,$103.36,301881,$102,$103.54,$102
04/15/2016,$103.68,399285,$104.51,$104.51,$103.49
04/14/2016,$104.96,406521,$105,$105.39,$104.79
04/13/2016,$104.26,628873,$103.76,$104.31,$103.49
04/12/2016,$101.58,523410,$101.23,$101.97,$101.02
04/11/2016,$98.43,988160,$98.53,$99.09,$98.3
04/08/2016,$100.66,517069,$100.7,$101.1,$100.4
04/07/2016,$98.27,547654,$99.21,$99.25,$97.8
04/06/2016,$99.51,492286,$98.9,$99.62,$98.38
04/05/2016,$98.74,1156358,$98.23,$99.56,$98.11
04/04/2016,$101.38,993614,$101.66,$101.8699,$100.91
04/01/2016,$103.54,531758,$103.47,$104.03,$103.01
03/31/2016,$106.32,384488,$106.41,$106.764,$106.115
03/30/2016,$107.6,323531,$108,$108.1,$107.45
03/29/2016,$108.35,345850,$108,$108.42,$107.34
03/28/2016,$108.69,450001,$108.5,$109.09,$108.092
03/24/2016,$106.32,399772,$106.39,$106.39,$105.75
03/23/2016,$108.1,291053,$108.48,$108.99,$108.1
03/22/2016,$108.6,318657,$108.11,$109.32,$107.76
03/21/2016,$107.14,442132,$106.41,$107.43,$106.41
03/18/2016,$106.6,615527,$106.28,$106.93,$105.8
03/17/2016,$107.93,354740,$106.89,$108.48,$106.44
03/16/2016,$107.54,342980,$106.47,$107.77,$106.1
03/15/2016,$107.22,405231,$107.41,$107.42,$106.446
